Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow,SMA_5,SMA_10,SMA_20,Return_1D,Volatility_10,High_Low_Ratio,Open_Close_Ratio,Volume_SMA_10,Volume_Ratio,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,RSI_14
2015-08-05,ADANIPORTS,EQ,322.8,326.2,340.75,326.2,337.0,335.1,336.13,2097977.0,70500000000000.0,29665.0,726039.0,0.3461,0,311.68999999999994,320.04,317.39,0.04997650007833321,0.1250564521264835,1.0446045370938075,0.9734407639510593,2686288.7,0.7809946116364931,319.15,1317175.0,334.55,2932673.0,255.1,2699537.0,52.35299946915954
2015-08-06,ADANIPORTS,EQ,311.3,311.75,313.9,298.25,303.35,302.15,306.35,2647500.0,81100000000000.0,38783.0,783571.0,0.296,1,309.21,317.86499999999995,318.2925,-0.09832885705759487,0.12974898914671454,1.0524727577535624,1.0317722985272217,2759731.9,0.9593323177515903,335.1,2097977.0,319.15,1317175.0,334.55,2932673.0,47.551485433934054
2015-08-07,ADANIPORTS,EQ,333.05,329.4,329.4,318.9,321.2,320.65,323.14,6546522.0,212000000000000.0,96249.0,4163928.0,0.6361,0,322.32,317.65,318.23249999999996,0.06122786695350002,0.13115690343703867,1.032925682031985,1.0272883205987837,3243423.9,2.018398520156431,302.15,2647500.0,335.1,2097977.0,319.15,1317175.0,50.30718114171951
2015-08-09,ADANIPORTS,EQ,322.65,323.65,327.35,311.7,317.1,317.55,318.41,4788058.0,152000000000000.0,58391.0,2487048.0,0.5194,1,318.91999999999996,316.1,319.1,-0.009667862154997597,0.1309270174740768,1.0502085338466476,1.019209573295544,2934484.7,1.631652058025724,320.65,6546522.0,302.15,2647500.0,335.1,2097977.0,49.83467835371032
2015-08-10,ADANIPORTS,EQ,314.55,314.1,322.4,312.15,321.3,320.75,318.81,3186244.0,102000000000000.0,30808.0,1692038.0,0.531,0,319.24,314.21999999999997,319.075,0.010077153204219869,0.13082409774656667,1.0328367771904534,0.9792673421667967,3064776.3,1.03963346362343,317.55,4788058.0,320.65,6546522.0,302.15,2647500.0,50.353048458130004
2015-08-12,ADANIPORTS,EQ,255.1,255.0,255.0,250.05,250.05,251.05,252.39,2741462.0,69200000000000.0,57273.0,1522022.0,0.5552,1,302.42999999999995,307.06000000000006,315.0675,-0.21730319563522993,0.14774901031020074,1.0197960407918416,1.0157339175463054,3080859.4,0.8898367773615375,320.75,3186244.0,317.55,4788058.0,320.65,6546522.0,40.529378323915054
2015-09-01,ADANIPORTS,EQ,334.55,339.9,343.1,327.35,331.3,331.15,334.89,3543488.0,119000000000000.0,44647.0,1569476.0,0.4429,0,308.23,308.71999999999997,315.62,0.3190599482174865,0.18144585869884994,1.048113639835039,1.0264230711158084,3250063.6,1.0902826640069443,251.05,2741462.0,320.75,3186244.0,317.55,4788058.0,52.095950049048874
2015-09-02,ADANIPORTS,EQ,300.2,296.7,307.9,292.5,300.0,300.15,301.14,3103409.0,93500000000000.0,47485.0,1292341.0,0.4164,1,304.13,313.225,313.28999999999996,-0.09361316623886462,0.1715236987693896,1.0526495726495726,0.9885057471264368,3290450.8,0.9431561778708255,331.15,3543488.0,251.05,2741462.0,320.75,3186244.0,48.18961496411648
2015-09-03,ADANIPORTS,EQ,333.05,331.55,335.9,323.5,323.6,325.0,328.79,1825760.0,60000000000000.0,49628.0,919969.0,0.5039,0,305.62,312.27,313.75,0.08279193736465107,0.1424111018252305,1.0383307573415765,1.0201538461538462,3179759.5,0.5741817895347117,300.15,3103409.0,331.15,3543488.0,251.05,2741462.0,51.33947805395803
2015-09-04,ADANIPORTS,EQ,319.15,319.7,320.55,312.0,314.6,316.7,316.5,1503986.0,47600000000000.0,25485.0,473278.0,0.3147,0,304.81,312.025,315.33250000000004,-0.02553846153846162,0.14172785799679685,1.0274038461538462,1.00947268708557,3198440.6,0.4702247714089172,325.0,1825760.0,300.15,3103409.0,331.15,3543488.0,50.240806593003164
2015-09-06,ADANIPORTS,EQ,302.15,303.45,311.35,301.2,305.9,306.55,306.95,2724447.0,83600000000000.0,39626.0,949672.0,0.3486,1,315.90999999999997,309.16999999999996,314.605,-0.03204925797284486,0.14139328184733643,1.033698539176627,0.9898874571847985,3261087.6,0.8354412190583289,316.7,1503986.0,325.0,1825760.0,300.15,3103409.0,48.86367588569144
2015-09-07,ADANIPORTS,EQ,320.65,323.4,323.4,312.6,316.0,315.15,317.31,3521086.0,112000000000000.0,59573.0,1999596.0,0.5679,1,312.71000000000004,310.47,314.1675,0.028054151035719954,0.13724846424918458,1.0345489443378117,1.0261780104712042,3348446.2,1.0515581824190574,306.55,2724447.0,316.7,1503986.0,325.0,1825760.0,50.11145157306659
2015-09-09,ADANIPORTS,EQ,317.55,323.5,327.6,320.15,324.0,324.05,324.24,2070584.0,67100000000000.0,37958.0,803912.0,0.3883,0,317.49,310.81,314.23,0.02824052038711744,0.13633531947186106,1.023270342027175,0.9983027310600215,2900852.4,0.7137846792894392,315.15,3521086.0,306.55,2724447.0,316.7,1503986.0,51.4322342886659
2015-09-10,ADANIPORTS,EQ,320.75,323.0,324.7,315.95,317.05,318.55,320.82,1322859.0,42400000000000.0,18730.0,412612.0,0.3119,0,316.2,310.90999999999997,313.505,-0.016972689399784024,0.13646599296197337,1.0276942554201614,1.0139695495212682,2554332.5,0.517888332861912,324.05,2070584.0,315.15,3521086.0,306.55,2724447.0,50.54172604387394
2015-09-11,ADANIPORTS,EQ,285.05,277.95,283.5,274.4,276.15,276.05,278.43,5642736.0,157000000000000.0,100788.0,3503760.0,0.6209,0,308.07,306.44,310.33,-0.13341704598964055,0.14361249825726108,1.0331632653061225,1.0068828110849484,2799981.7,2.0152760284111855,318.55,1322859.0,324.05,2070584.0,315.15,3521086.0,44.1766159189308
2015-09-12,ADANIPORTS,EQ,251.05,249.0,251.3,243.65,243.85,244.0,246.5,4226145.0,104000000000000.0,33906.0,2594302.0,0.6139,1,295.56,305.735,306.3975,-0.11610215540662927,0.12999373945592857,1.031397496408783,1.0204918032786885,2948450.0,1.4333446387084738,276.05,5642736.0,318.55,1322859.0,324.05,2070584.0,40.077585090691
2015-10-02,ADANIPORTS,EQ,300.15,298.1,319.7,298.1,319.5,317.85,312.54,3921257.0,123000000000000.0,72815.0,1273566.0,0.3248,0,296.1,304.40500000000003,306.5625,0.30266393442622963,0.12560844387181058,1.0724589064072458,0.9378637722196005,2986226.9,1.3131142178111115,244.0,4226145.0,276.05,5642736.0,318.55,1322859.0,51.29241070316339
