Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow
2015-10-12,ADANIPORTS,EQ,244.0,245.1,249.45,242.15,245.95,246.9,246.71,4531790.0,112000000000000.0,56019.0,2618819.0,0.5779,1
2015-11-02,ADANIPORTS,EQ,317.85,319.9,328.9,319.0,326.75,326.1,324.92,2148555.0,69800000000000.0,32049.0,602315.0,0.2803,0
2015-11-03,ADANIPORTS,EQ,317.55,318.9,318.9,302.2,307.05,307.8,307.87,4828130.0,149000000000000.0,41867.0,1624636.0,0.3365,1
2015-11-05,ADANIPORTS,EQ,335.1,337.6,345.0,337.05,344.5,344.05,342.45,2266220.0,77600000000000.0,41494.0,1100103.0,0.4854,0
2015-11-06,ADANIPORTS,EQ,312.95,320.0,320.3,302.55,303.5,304.25,309.98,3718393.0,115000000000000.0,78191.0,1666382.0,0.4481,1
2015-11-08,ADANIPORTS,EQ,338.55,340.4,340.4,328.95,332.65,331.8,333.77,3016995.0,101000000000000.0,68561.0,1709404.0,0.5666,0
2015-11-09,ADANIPORTS,EQ,326.2,329.0,334.0,320.5,323.65,322.95,326.72,2528750.0,82600000000000.0,39318.0,1045827.0,0.4136,0
2015-11-11,ADANIPORTS,EQ,265.6,266.95,268.95,266.4,267.7,267.5,267.47,255406.0,6830000000000.0,4386.0,105881.0,0.4146,0
2015-11-12,ADANIPORTS,EQ,246.9,247.95,250.4,238.75,241.3,241.15,243.9,3975604.0,97000000000000.0,56405.0,2276009.0,0.5725,1
2015-12-01,ADANIPORTS,EQ,331.15,332.15,335.75,325.55,327.45,328.45,329.0,2990475.0,98400000000000.0,44860.0,1443283.0,0.4826,1
2015-12-02,ADANIPORTS,EQ,326.1,327.7,338.0,326.8,337.1,336.6,334.91,3539194.0,119000000000000.0,78875.0,1891971.0,0.5346,0
2015-12-03,ADANIPORTS,EQ,307.8,306.55,312.0,304.0,310.75,310.25,309.75,3431277.0,106000000000000.0,23606.0,1397326.0,0.4072,1
2015-12-05,ADANIPORTS,EQ,344.05,343.4,343.4,333.15,335.65,334.9,335.61,1550748.0,52000000000000.0,26427.0,710761.0,0.4583,0
2015-12-06,ADANIPORTS,EQ,304.25,303.0,313.05,300.0,312.1,312.05,308.53,2854243.0,88100000000000.0,48204.0,1366131.0,0.4786,1
2015-12-08,ADANIPORTS,EQ,331.8,330.0,330.95,320.35,322.7,322.2,324.57,1449050.0,47000000000000.0,24857.0,646635.0,0.4462,0
2015-12-10,ADANIPORTS,EQ,318.55,322.0,324.25,318.0,321.0,320.75,321.24,1229567.0,39500000000000.0,24206.0,485554.0,0.3949,0
2016-01-01,ADANIPORTS,EQ,260.9,261.0,268.3,260.1,267.15,267.55,265.19,1347893.0,35700000000000.0,16568.0,405124.0,0.3006,0
2016-01-02,ADANIPORTS,EQ,212.25,213.25,221.8,212.75,220.6,221.1,218.92,3982611.0,87200000000000.0,53589.0,1735022.0,0.4356,0
2016-01-03,ADANIPORTS,EQ,196.7,198.0,208.0,196.35,206.85,206.9,203.59,2152599.0,43800000000000.0,24909.0,589824.0,0.274,1
2016-01-04,ADANIPORTS,EQ,247.7,248.0,248.0,239.5,243.3,242.9,242.94,1772898.0,43100000000000.0,26252.0,695681.0,0.3924,0
2016-01-06,ADANIPORTS,EQ,192.15,192.85,203.3,192.5,202.0,202.3,200.27,10935767.0,219000000000000.0,89988.0,4132776.0,0.3779,1
2016-01-07,ADANIPORTS,EQ,206.85,205.1,207.9,203.8,204.5,204.3,205.84,3280576.0,67500000000000.0,34565.0,2037239.0,0.621,1
2016-01-08,ADANIPORTS,EQ,232.4,234.45,236.25,225.85,228.5,228.55,231.85,3414966.0,79200000000000.0,42757.0,1459355.0,0.4273,1
2016-01-09,ADANIPORTS,EQ,262.95,263.15,263.9,257.8,259.0,258.7,260.04,3552214.0,92400000000000.0,34813.0,1960205.0,0.5518,1
2016-01-11,ADANIPORTS,EQ,305.3,307.0,308.0,301.45,305.0,305.15,305.21,5197221.0,159000000000000.0,48755.0,2722063.0,0.5238,0
2016-01-12,ADANIPORTS,EQ,277.9,280.0,280.35,271.7,274.65,275.1,275.18,2039195.0,56100000000000.0,20167.0,801986.0,0.3933,0
2016-02-02,ADANIPORTS,EQ,221.1,221.95,223.95,211.7,214.5,213.25,219.16,2971041.0,65100000000000.0,47008.0,1211845.0,0.4079,1
2016-02-03,ADANIPORTS,EQ,206.9,209.0,222.55,208.85,218.3,218.8,217.44,4228824.0,91900000000000.0,52557.0,1927487.0,0.4558,1
2016-02-05,ADANIPORTS,EQ,238.2,237.0,237.25,231.8,232.95,232.95,233.62,2312439.0,54000000000000.0,29347.0,1307940.0,0.5656,0
2016-02-06,ADANIPORTS,EQ,202.3,203.45,206.5,200.7,204.05,205.2,203.56,6232617.0,127000000000000.0,74661.0,2585612.0,0.4149,1
2016-02-08,ADANIPORTS,EQ,228.55,230.0,231.7,223.8,225.0,224.65,228.45,2083401.0,47600000000000.0,25339.0,607349.0,0.2915,1
2016-02-09,ADANIPORTS,EQ,258.7,259.0,269.4,256.8,268.8,268.2,266.48,6194172.0,165000000000000.0,53801.0,2451465.0,0.3958,1
2016-02-11,ADANIPORTS,EQ,305.15,300.0,304.15,297.15,301.5,299.9,300.66,4954922.0,149000000000000.0,77800.0,2260976.0,0.4563,0
2016-02-12,ADANIPORTS,EQ,275.1,273.7,274.4,264.25,265.7,265.9,269.93,2854273.0,77000000000000.0,33213.0,1502752.0,0.5265,0
2016-03-02,ADANIPORTS,EQ,213.25,212.0,214.5,208.0,210.4,210.2,210.97,3026403.0,63800000000000.0,36493.0,1456136.0,0.4811,1
2016-03-03,ADANIPORTS,EQ,218.8,220.85,229.45,217.65,227.9,227.5,224.63,3290989.0,73900000000000.0,35415.0,1398433.0,0.4249,1
2016-03-05,ADANIPORTS,EQ,232.95,235.25,242.45,232.5,232.7,235.5,238.37,5328996.0,127000000000000.0,57348.0,1931760.0,0.3625,0
2016-03-06,ADANIPORTS,EQ,205.2,206.25,206.25,202.1,203.5,204.55,203.92,3927140.0,80100000000000.0,29144.0,1877028.0,0.478,1
2016-03-08,ADANIPORTS,EQ,224.65,225.7,228.4,221.5,223.0,222.85,224.45,3212161.0,72100000000000.0,34887.0,1299769.0,0.4046,1
2016-03-10,ADANIPORTS,EQ,256.75,260.7,267.5,259.3,264.9,264.5,264.49,3775937.0,99900000000000.0,54378.0,1396409.0,0.3698,1
2016-03-11,ADANIPORTS,EQ,299.9,299.7,301.9,287.1,288.65,288.2,294.07,5762076.0,169000000000000.0,49674.0,2370166.0,0.4113,0
2016-04-01,ADANIPORTS,EQ,267.55,264.45,266.5,257.0,257.0,257.95,262.15,2536252.0,66500000000000.0,37362.0,1331790.0,0.5251,0
2016-04-02,ADANIPORTS,EQ,210.2,212.55,218.0,211.65,216.0,215.7,215.04,2023624.0,43500000000000.0,22730.0,810050.0,0.4003,1
2016-04-03,ADANIPORTS,EQ,227.5,228.85,228.85,222.2,225.65,225.15,225.07,4768604.0,107000000000000.0,29095.0,3332232.0,0.6988,1
2016-04-04,ADANIPORTS,EQ,242.9,249.45,249.45,241.2,242.0,242.55,244.4,1986415.0,48500000000000.0,22456.0,714670.0,0.3598,0
2016-04-05,ADANIPORTS,EQ,235.5,234.5,234.5,205.5,207.25,208.25,213.24,22904231.0,488000000000000.0,200351.0,7108757.0,0.3104,1
2016-04-07,ADANIPORTS,EQ,204.3,206.0,213.95,205.5,213.5,213.25,210.43,5170996.0,109000000000000.0,49747.0,2254358.0,0.436,1
2016-04-08,ADANIPORTS,EQ,222.85,226.2,229.5,223.05,228.35,227.9,226.68,2779249.0,63000000000000.0,26115.0,1118362.0,0.4024,1
2016-04-10,ADANIPORTS,EQ,264.5,267.6,269.8,263.1,268.35,268.7,266.74,3083178.0,82200000000000.0,42922.0,1546854.0,0.5017,1
2016-04-11,ADANIPORTS,EQ,288.2,289.0,291.85,284.25,288.0,287.7,288.36,6331988.0,183000000000000.0,83809.0,3822746.0,0.6037,0
2016-05-01,ADANIPORTS,EQ,257.95,259.2,260.3,254.25,254.7,255.7,256.82,2815055.0,72300000000000.0,36455.0,1547519.0,0.5497,0
2016-05-02,ADANIPORTS,EQ,215.7,215.7,218.0,209.1,211.8,211.1,212.24,3022383.0,64100000000000.0,24028.0,1159320.0,0.3836,1
