Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
10-06-2015,ADANIPORTS,EQ,306.55,307,314.25,306.05,312.65,312.95,312.35,2282770,7.13E+13,38577,1078919,0.4726
11-06-2015,ADANIPORTS,EQ,312.95,320,320.3,302.55,303.5,304.25,309.98,3718393,1.15E+14,78191,1666382,0.4481
12-06-2015,ADANIPORTS,EQ,304.25,303,313.05,300,312.1,312.05,308.53,2854243,8.81E+13,48204,1366131,0.4786
15-06-2015,ADANIPORTS,EQ,312.05,310.1,317,308.1,309.25,310.05,312.26,3154460,9.85E+13,61053,1469295,0.4658
16-06-2015,ADANIPORTS,EQ,310.05,310,315,303.25,312.6,313.2,307.18,4130581,1.27E+14,58959,2355282,0.5702
17-06-2015,ADANIPORTS,EQ,313.2,312,315,308.4,311,311,312.4,4251580,1.33E+14,75821,2730095,0.6421
18-06-2015,ADANIPORTS,EQ,311,312.3,313.7,309.35,310.5,311,311.3,2616024,8.14E+13,41090,1669622,0.6382
19-06-2015,ADANIPORTS,EQ,311,311.95,313.25,303,304.95,304.6,306.68,3438440,1.05E+14,46504,2334929,0.6791
22-06-2015,ADANIPORTS,EQ,304.6,306,314.5,304.1,311.3,311.05,310.64,3121416,9.70E+13,38518,1620164,0.519
23-06-2015,ADANIPORTS,EQ,311.05,311.05,318.4,311.05,315.85,316.05,315.78,2683470,8.47E+13,39143,1233727,0.4598
24-06-2015,ADANIPORTS,EQ,316.05,316.9,318,309.75,310.85,311.55,313.14,2241106,7.02E+13,40294,994392,0.4437
25-06-2015,ADANIPORTS,EQ,311.55,310.8,316.45,308.1,312.2,312.55,312.47,5190167,1.62E+14,47946,3508966,0.6761
26-06-2015,ADANIPORTS,EQ,312.55,311,315.35,309,310.7,311.2,311.65,2127770,6.63E+13,30335,910075,0.4277
29-06-2015,ADANIPORTS,EQ,311.2,306.6,307.5,300.85,306.6,306.65,304.1,1890624,5.75E+13,30827,689728,0.3648
30-06-2015,ADANIPORTS,EQ,306.65,305,309.4,305,307.85,307.9,307.71,2632153,8.10E+13,56300,1540516,0.5853
01-07-2015,ADANIPORTS,EQ,307.9,308.8,312.7,306.5,311,311.3,310.77,2854143,8.87E+13,37795,1932899,0.6772
02-07-2015,ADANIPORTS,EQ,311.3,312.45,319,311.9,318.5,316.05,315.32,8669541,2.73E+14,43805,7232864,0.8343
03-07-2015,ADANIPORTS,EQ,316.05,319.95,325.75,319,320.9,320.8,322.37,5189498,1.67E+14,49536,3365179,0.6485
06-07-2015,ADANIPORTS,EQ,320.8,316.95,321.1,316.25,320.5,320.1,319.08,2853145,9.10E+13,32435,1773993,0.6218
07-07-2015,ADANIPORTS,EQ,320.1,321.8,334.7,321.6,333.05,333.05,328.56,7877450,2.59E+14,84167,5489205,0.6968
08-07-2015,ADANIPORTS,EQ,333.05,329.4,329.4,318.9,321.2,320.65,323.14,6546522,2.12E+14,96249,4163928,0.6361
09-07-2015,ADANIPORTS,EQ,320.65,323.4,323.4,312.6,316,315.15,317.31,3521086,1.12E+14,59573,1999596,0.5679
10-07-2015,ADANIPORTS,EQ,315.15,318.75,321.55,315.2,316,317.1,317.58,2531442,8.04E+13,48893,1288295,0.5089
13-07-2015,ADANIPORTS,EQ,317.1,319,322,313.6,321.9,321.4,317.95,1890469,6.01E+13,19991,890266,0.4709
14-07-2015,ADANIPORTS,EQ,321.4,322.3,322.75,314,314.4,315.9,317.66,1960113,6.23E+13,18318,1189423,0.6068
15-07-2015,ADANIPORTS,EQ,315.9,315.9,320.75,315.1,320,319.65,317.38,2112588,6.70E+13,30203,1115947,0.5282
16-07-2015,ADANIPORTS,EQ,319.65,325,329,322.75,326.5,326.9,325.86,3075862,1.00E+14,54030,1468196,0.4773
17-07-2015,ADANIPORTS,EQ,326.9,329.7,330.7,320.1,329.95,329.3,328.01,2556255,8.38E+13,52398,1555544,0.6085
20-07-2015,ADANIPORTS,EQ,329.3,328,330.5,325.6,330,328.8,326.96,1847655,6.04E+13,33608,1189191,0.6436
21-07-2015,ADANIPORTS,EQ,328.8,330.5,331.25,321,322,322.65,325.57,1927178,6.27E+13,18505,1108859,0.5754
22-07-2015,ADANIPORTS,EQ,322.65,322.4,325.4,320,324.6,324.5,323.12,1703725,5.51E+13,26339,1092396,0.6412
23-07-2015,ADANIPORTS,EQ,324.5,325.7,333.35,325,330.4,331.35,330.6,3000343,9.92E+13,50378,1716361,0.5721
24-07-2015,ADANIPORTS,EQ,331.35,330.4,330.4,322,325,323.9,324.96,2337434,7.60E+13,19476,1367968,0.5852
27-07-2015,ADANIPORTS,EQ,323.9,322.2,322.7,312.75,313.5,313.95,316.54,2359169,7.47E+13,27311,1417561,0.6009
28-07-2015,ADANIPORTS,EQ,313.95,313.9,317.1,312.2,313.05,313.45,314.13,2415757,7.59E+13,37715,1563385,0.6472
29-07-2015,ADANIPORTS,EQ,313.45,314.7,316.3,313.5,315.1,314.7,314.28,2000338,6.29E+13,22242,1377978,0.6889
30-07-2015,ADANIPORTS,EQ,314.7,316,319.95,315.1,318.35,318.35,318.3,3092912,9.84E+13,28143,2105199,0.6807
31-07-2015,ADANIPORTS,EQ,318.35,319.8,326.5,317.5,325.4,325,322.78,3265863,1.05E+14,28453,2501201,0.7659
03-08-2015,ADANIPORTS,EQ,325,326,331.9,324,330.95,330.7,329.69,2834386,9.34E+13,34828,1898968,0.67
04-08-2015,ADANIPORTS,EQ,330.7,332.25,340.3,329.6,340.25,339.15,336.3,4458398,1.50E+14,61932,2561641,0.5746
05-08-2015,ADANIPORTS,EQ,339.15,342,344,337.55,339.2,339.85,341.09,2486133,8.48E+13,31849,1450307,0.5834
06-08-2015,ADANIPORTS,EQ,339.85,341,348.4,335.3,347,346.75,342.56,2426994,8.31E+13,27178,1337571,0.5511
07-08-2015,ADANIPORTS,EQ,346.75,345.95,347.7,338,339.25,339.55,341.28,1883328,6.43E+13,23501,1026643,0.5451
10-08-2015,ADANIPORTS,EQ,339.55,339.1,344.25,337,337.55,338.55,340.18,4031354,1.37E+14,55949,1934312,0.4798
11-08-2015,ADANIPORTS,EQ,338.55,340.4,340.4,328.95,332.65,331.8,333.77,3016995,1.01E+14,68561,1709404,0.5666
12-08-2015,ADANIPORTS,EQ,331.8,330,330.95,320.35,322.7,322.2,324.57,1449050,4.70E+13,24857,646635,0.4462
13-08-2015,ADANIPORTS,EQ,322.2,328,338,328,337.2,334.7,333.42,4693354,1.56E+14,64381,2417798,0.5152
